home_team,probability,total_games,reliability,confidence
Pardubice,0.6153846153846154,13,Low,0.26446672582181185
Paris,0.42105263157894735,19,Low,0.22200717267873302
Parma Perm,0.4666666666666667,15,Low,0.252471985978056
Parnu,0.5,12,Low,0.2829016319029166
Partizan,0.7,20,Low,0.20084023501280815
Pato,0.3333333333333333,6,Low,0.3772021758705555
Pau-Orthez,0.35714285714285715,14,Low,0.25099800796022265
Paulistano,0.4,5,Low,0.4294144850840502
Pecsi VSK,0.625,8,Low,0.33548006647191425
Pelister,0.2857142857142857,7,Low,0.3346640106136302
Penarol,0.42857142857142855,7,Low,0.3666060555964672
Peristeri,0.6363636363636364,11,Low,0.2842798380047696
Perth,0.6923076923076923,13,Low,0.25089516567725745
Pesaro,0.5,12,Low,0.2829016319029166
Petkim Spor,0.5714285714285714,14,Low,0.25922962793631443
Petrolul Ploiesti,0.625,8,Low,0.33548006647191425
Phoenix Hagen,0.5454545454545454,11,Low,0.29425758813377273
Pinheiros,0.6666666666666666,6,Low,0.3772021758705555
Pistoia,0.625,8,Low,0.33548006647191425
Platense,0.5714285714285714,7,Low,0.3666060555964672
Plunges Olimpas,0.6428571428571429,14,Low,0.25099800796022265
Podcetrtek,0.75,8,Low,0.3000624934909393
Poitiers,0.46153846153846156,13,Low,0.27099775187306424
Portimonense,0.3333333333333333,6,Low,0.3772021758705555
Promitheas,0.2727272727272727,11,Low,0.2631919879849005
Pyrinto Tampere,0.4,10,Low,0.3036418943426615
QSTA Utd,0.7,10,Low,0.284030984225313
Quimsa,0.5555555555555556,9,Low,0.32464394339996944
Rabotnicki,0.6,10,Low,0.3036418943426615
Radnicki,0.2857142857142857,7,Low,0.3346640106136302
Rapid Bucuresti,0.7777777777777778,9,Low,0.27161661029914536
Rapla,0.8888888888888888,9,Low,0.20532285794453828
Real Madrid,0.6363636363636364,11,Low,0.2842798380047696
Regatas,0.625,8,Low,0.33548006647191425
Reggiana,0.75,12,Low,0.245
Regio Basel,0.7142857142857143,7,Low,0.3346640106136302
Riachuelo,0.6666666666666666,9,Low,0.3079842869168074
Rigas Zelli,0.6363636363636364,11,Low,0.2842798380047696
Rilski Sportist,0.5625,16,Low,0.24307840170405925
Rimini,0.3333333333333333,12,Low,0.2667222164363905
Rivne,0.75,8,Low,0.3000624934909393
Roanne,0.5,12,Low,0.2829016319029166
Rogaska,0.75,8,Low,0.3000624934909393
Rostock,0.625,8,Low,0.33548006647191425
Rouen,0.46153846153846156,13,Low,0.27099775187306424
Rytas,0.5833333333333334,12,Low,0.2789447708511224
Rytas 2,0.6428571428571429,14,Low,0.25099800796022265
S-Birds W,0.5714285714285714,7,Low,0.3666060555964672
SAM Massagno,0.2857142857142857,7,Low,0.3346640106136302
SCM Craiova,0.7,10,Low,0.284030984225313
SPU Nitra,0.45454545454545453,11,Low,0.29425758813377273
Sabah Baku,0.7142857142857143,7,Low,0.3346640106136302
Saint Quentin,0.5384615384615384,13,Low,0.27099775187306424
Salon Vilpas,0.3,10,Low,0.284030984225313
Samara,0.35714285714285715,14,Low,0.25099800796022265
Sampaense,0.14285714285714285,7,Low,0.25922962793631443
Samsung Blue Minx W,0.8333333333333334,6,Low,0.2982045035305904
San Lorenzo,0.5,8,Low,0.3464823227814083
San Martin,0.6,5,Low,0.4294144850840502
Sangalhos,0.5714285714285714,7,Low,0.3666060555964672
Santo Andre,1.0,6,Very High,0.0
Sao Jose,0.8,5,Low,0.350615458871967
Sao Paulo,0.4,5,Low,0.4294144850840502
Saratov,0.6,15,Low,0.2479225685572009
Sassari,0.5882352941176471,17,Low,0.2339546649750468
Scafati,0.5,8,Low,0.3464823227814083
Sdent BBC Nyon,0.3333333333333333,6,Low,0.3772021758705555
Sebastiani Rieti,0.5,12,Low,0.2829016319029166
Sencur,0.75,8,Low,0.3000624934909393
Seoul Knights,0.7272727272727273,11,Low,0.2631919879849005
Seoul Thunders,0.6363636363636364,11,Low,0.2842798380047696
Sheffield Sharks,0.8,5,Low,0.350615458871967
Shkupi Skopje,0.16666666666666666,6,Low,0.29820450353059047
Shumen,0.42857142857142855,7,Low,0.3666060555964672
Siauliai,0.2727272727272727,11,Low,0.2631919879849005
Silute,0.5384615384615384,13,Low,0.27099775187306424
Siroki Brijeg,0.7142857142857143,7,Low,0.3346640106136302
Slask Wroclaw,0.36363636363636365,11,Low,0.2842798380047696
Slavia Prague,0.5833333333333334,12,Low,0.2789447708511224
Sloboda,0.7,10,Low,0.284030984225313
Sloga,0.42857142857142855,7,Low,0.3666060555964672
Soproni KC,0.2222222222222222,9,Low,0.27161661029914536
