home_team,probability,total_games,reliability,confidence
Heidelberg,0.5454545454545454,11,Low,0.29425758813377273
Helios Domzale,0.7692307692307693,13,Low,0.22903490301738305
Helsinki Seagulls,0.6,10,Low,0.3036418943426615
Honka,0.8333333333333334,12,Low,0.21086242662684823
Hyeres-Toulon,0.46153846153846156,13,Low,0.27099775187306424
Igokea,0.46153846153846156,13,Low,0.27099775187306424
Ilirija,0.6666666666666666,12,Low,0.2667222164363905
Illawarra Hawks,0.5454545454545454,11,Low,0.29425758813377273
Illiabum,0.5714285714285714,7,Low,0.3666060555964672
Imortal,0.4,5,Low,0.4294144850840502
Imortal B,1.0,6,Very High,0.0
Independiente de Oliva,0.4444444444444444,9,Low,0.32464394339996944
Instituto de Cordoba,0.875,8,Low,0.2291765149399039
Inter Bratislava,0.5,12,Low,0.2829016319029166
Irkutsk,0.45454545454545453,11,Low,0.29425758813377273
Iskra Svit,0.6,10,Low,0.3036418943426615
Istanbul Anka Spor,0.2727272727272727,11,Low,0.2631919879849005
JL Bourg,0.5882352941176471,17,Low,0.2339546649750468
Jena,0.36363636363636365,11,Low,0.2842798380047696
Jindrichuv Hradec,0.5384615384615384,13,Low,0.27099775187306424
Joker,0.5,10,Low,0.3099032106965012
Jonava,0.5,12,Low,0.2829016319029166
Joventut Badalona,0.7777777777777778,9,Low,0.27161661029914536
JuVi Cremona,0.5833333333333334,12,Low,0.2789447708511224
Jurbarkas,0.4375,16,Low,0.24307840170405925
Juventus,0.7142857142857143,14,Low,0.23664319132398465
KB Stars W,0.8333333333333334,6,Low,0.2982045035305904
KCC Egis,0.8181818181818182,11,Low,0.2279309476674526
KK Bosna,0.625,8,Low,0.33548006647191425
KK Krka Novo mesto,0.5555555555555556,18,Low,0.2295579338492601
KK Metalac,0.8,5,Low,0.350615458871967
KK Mladost SP,0.42857142857142855,7,Low,0.3666060555964672
KK Triglav Kranj,0.625,8,Low,0.33548006647191425
KTE-Duna,0.625,8,Low,0.33548006647191425
KTP Kotka Basket,0.6363636363636364,11,Low,0.2842798380047696
Kapakli Spor,0.46153846153846156,13,Low,0.27099775187306424
