guest_team,probability,total_games,reliability,confidence
Brno,0.7142857142857143,7,Low,0.3346640106136302
Budapesti Honved Se,0.4,5,Low,0.4294144850840502
Buducnost,0.7,10,Low,0.284030984225313
Bursaspor,0.5714285714285714,7,Low,0.3666060555964672
Buyukcekmece,0.6,5,Low,0.4294144850840502
CO Basket,0.6666666666666666,6,Low,0.3772021758705555
CSKA Moscow,0.6666666666666666,6,Low,0.3772021758705555
CSKA Moscow 2,0.5,6,Low,0.40008332465458574
CSM Constanta,0.625,8,Low,0.33548006647191425
CSM Oradea,0.6666666666666666,9,Low,0.3079842869168074
CSM Targu Mures,0.8,5,Low,0.350615458871967
Caen,0.6666666666666666,6,Low,0.3772021758705555
Cairns Taipans,1.0,5,Very High,0.0
Caledonia Gladiators,0.2,5,Low,0.3506154588719671
Cantu,0.42857142857142855,7,Low,0.3666060555964672
Cayirova,0.2857142857142857,7,Low,0.3346640106136302
Cedevita Junior,0.6,5,Low,0.4294144850840502
Cedevita Olimpija,0.5555555555555556,9,Low,0.32464394339996944
Cento,0.5,6,Low,0.40008332465458574
Chalon/Saone,0.6,5,Low,0.4294144850840502
Chalons-Reims,0.2857142857142857,7,Low,0.3346640106136302
Chartres,0.3333333333333333,6,Low,0.3772021758705555
Chemnitz,0.8571428571428571,7,Low,0.25922962793631443
Cholet,0.2857142857142857,7,Low,0.3346640106136302
Cibona,0.5555555555555556,9,Low,0.32464394339996944
Circus Brussels,0.2,5,Low,0.3506154588719671
Cividale,0.4,5,Low,0.4294144850840502
Cluj-Napoca,0.3333333333333333,9,Low,0.3079842869168074
Corona Brasov,0.8,5,Low,0.350615458871967
Crailsheim Merlins,0.4,5,Low,0.4294144850840502
Crvena zvezda,0.6923076923076923,13,Low,0.25089516567725745
Decin,0.5,6,Low,0.40008332465458574
Delikatesas Joniskis,0.42857142857142855,7,Low,0.3666060555964672
Den Bosch,0.8,5,Low,0.350615458871967
Den Helder,0.6666666666666666,6,Low,0.3772021758705555
Denain-Voltaire,0.7142857142857143,7,Low,0.3346640106136302
Dijon,0.375,8,Low,0.33548006647191425
Dinamo Zagreb,0.6,5,Low,0.4294144850840502
Donar Groningen,0.6,5,Low,0.4294144850840502
Dresden,0.5,6,Low,0.40008332465458574
Dubai,0.8333333333333334,6,Low,0.2982045035305904
Dubrava,0.4,5,Low,0.4294144850840502
Dusseldorf,0.2,5,Low,0.3506154588719671
Dynamo Grozny,0.3333333333333333,6,Low,0.3772021758705555
Dziki Warszawa,0.8,5,Low,0.350615458871967
Enisey,0.7142857142857143,7,Low,0.3346640106136302
Esenler Erokspor,0.5714285714285714,7,Low,0.3666060555964672
FC Porto,0.2,5,Low,0.3506154588719671
FMP Beograd,0.8,5,Low,0.350615458871967
Fenerbahce,0.42857142857142855,7,Low,0.3666060555964672
Fenerbahce 2,0.6,5,Low,0.4294144850840502
Feyenoord,0.16666666666666666,6,Low,0.29820450353059047
Final Spor,0.4,5,Low,0.4294144850840502
Forli,0.6666666666666666,6,Low,0.3772021758705555
Fortitudo Bologna,0.7142857142857143,7,Low,0.3346640106136302
Fos-sur-Mer,0.42857142857142855,7,Low,0.3666060555964672
Fribourg Olympic,0.375,8,Low,0.33548006647191425
Gaziantep,0.3333333333333333,6,Low,0.3772021758705555
Geneva Lions,0.4,5,Low,0.4294144850840502
Giessen,0.8,5,Low,0.350615458871967
Goverla,0.8,5,Low,0.350615458871967
Goyang Sono,0.7142857142857143,7,Low,0.3346640106136302
Gran Canaria,0.8,5,Low,0.350615458871967
Hamburg,0.75,8,Low,0.3000624934909393
Hapoel Jerusalem,0.2,5,Low,0.3506154588719671
Hapoel Tel-Aviv,0.6,5,Low,0.4294144850840502
Harem Spor,0.6,5,Low,0.4294144850840502
Heidelberg,0.16666666666666666,6,Low,0.29820450353059047
Helsinki Seagulls,0.8,5,Low,0.350615458871967
Honka,1.0,5,Very High,0.0
Hyeres-Toulon,0.6666666666666666,6,Low,0.3772021758705555
Igokea,0.42857142857142855,7,Low,0.3666060555964672
Illawarra Hawks,0.8,5,Low,0.350615458871967
Independiente de Oliva,0.6,5,Low,0.4294144850840502
Instituto de Cordoba,1.0,5,Very High,0.0
Inter Bratislava,0.5,6,Low,0.40008332465458574
Iskra Svit,1.0,5,Very High,0.0
Istanbul Anka Spor,0.14285714285714285,7,Low,0.25922962793631443
JL Bourg,0.6,10,Low,0.3036418943426615
Jena,0.16666666666666666,6,Low,0.29820450353059047
Jindrichuv Hradec,0.2857142857142857,7,Low,0.3346640106136302
Joker,0.6,5,Low,0.4294144850840502
JuVi Cremona,0.6666666666666666,6,Low,0.3772021758705555
Jurbarkas,0.375,8,Low,0.33548006647191425
Juventus,0.7777777777777778,9,Low,0.27161661029914536
KCC Egis,1.0,5,Very High,0.0
KK Krka Novo mesto,0.5,8,Low,0.3464823227814083
KTE-Duna,0.6,5,Low,0.4294144850840502
KTP Kotka Basket,0.5,6,Low,0.40008332465458574
Kapakli Spor,0.42857142857142855,7,Low,0.3666060555964672
Kapfenberg Bulls,0.4,5,Low,0.4294144850840502
Karhu Basket,0.6,5,Low,0.4294144850840502
Kataja,0.5,6,Low,0.40008332465458574
Keravnos,0.5,6,Low,0.40008332465458574
Khimki M.,0.8,5,Low,0.350615458871967
KoGas,0.8,5,Low,0.350615458871967
Koblenz,0.4,5,Low,0.4294144850840502
Kobrat,0.4,5,Low,0.4294144850840502
Kolossos Rhodes,0.7142857142857143,7,Low,0.3346640106136302
Konya BBSK,0.3333333333333333,6,Low,0.3772021758705555
Kormend,0.4,5,Low,0.4294144850840502
Kortrijk,0.4,5,Low,0.4294144850840502
Kouvot Kouvola,0.6,5,Low,0.4294144850840502
Kretinga,0.2857142857142857,7,Low,0.3346640106136302
Kvarner,0.6,5,Low,0.4294144850840502
LG Sakers,0.8,5,Low,0.350615458871967
LTH Castings,0.4,5,Low,0.4294144850840502
La Rochelle,0.6,5,Low,0.4294144850840502
Latvijas Universitate,0.8571428571428571,7,Low,0.25922962793631443
Le Mans,0.6,5,Low,0.4294144850840502
Le Portel,0.875,8,Low,0.2291765149399039
Leuven Bears,0.7142857142857143,7,Low,0.3346640106136302
Levice,0.5,10,Low,0.3099032106965012
Libertas Livorno,0.3333333333333333,6,Low,0.3772021758705555
Lietkabelis,0.5714285714285714,7,Low,0.3666060555964672
Limburg,0.25,8,Low,0.3000624934909393
Lokomotiv Kuban,0.16666666666666666,6,Low,0.29820450353059047
Lokomotiv Kuban 2,0.375,8,Low,0.33548006647191425
Ludwigsburg,0.6666666666666666,6,Low,0.3772021758705555
Lyon-Villeurbanne,0.3333333333333333,9,Low,0.3079842869168074
MBA Moscow,0.625,8,Low,0.33548006647191425
MKE Ankaragucu,0.6,5,Low,0.4294144850840502
MZT Skopje,0.6,5,Low,0.4294144850840502
Maccabi Tel Aviv,0.6,5,Low,0.4294144850840502
Manisa,0.14285714285714285,7,Low,0.25922962793631443
Maroussi,0.8333333333333334,6,Low,0.2982045035305904
Mazeikiai,0.3333333333333333,6,Low,0.3772021758705555
Mechelen,0.6666666666666666,6,Low,0.3772021758705555
Mega Basket,0.6,5,Low,0.4294144850840502
Melbourne United,0.6,5,Low,0.4294144850840502
Mobis Phoebus,0.5,6,Low,0.40008332465458574
Monaco,0.7777777777777778,9,Low,0.27161661029914536
Municipal Galati,0.0,5,Very High,0.0
Munster,0.6666666666666666,6,Low,0.3772021758705555
NH Ostrava,0.5714285714285714,7,Low,0.3666060555964672
Nanterre,0.125,8,Low,0.2291765149399039
Nantes,0.3333333333333333,6,Low,0.3772021758705555
Nardo,0.3333333333333333,6,Low,0.3772021758705555
Neptunas,0.3333333333333333,9,Low,0.3079842869168074
Neptunas 2,0.8333333333333334,6,Low,0.2982045035305904
Nitra Blue Wings,0.5714285714285714,7,Low,0.3666060555964672
Nizhny Novgorod,0.8571428571428571,7,Low,0.25922962793631443
Norrkoping,0.6,5,Low,0.4294144850840502
Novosibirsk,0.25,8,Low,0.3000624934909393
Nymburk,0.6,10,Low,0.3036418943426615
OGM Ormanspor,0.5,6,Low,0.40008332465458574
Obera TC,0.6,5,Low,0.4294144850840502
Okapi Aalst,0.8,5,Low,0.350615458871967
Oldenburg,0.4,5,Low,0.4294144850840502
Olimpia Milano,0.3333333333333333,9,Low,0.3079842869168074
Olomoucko,0.8,5,Low,0.350615458871967
Olympiacos,0.2222222222222222,9,Low,0.27161661029914536
Omega-Tauras,1.0,6,Very High,0.0
Oostende,0.375,8,Low,0.33548006647191425
Opava,0.8,5,Low,0.350615458871967
Orleans,0.2857142857142857,7,Low,0.3346640106136302
Orzinuovi,0.8,5,Low,0.350615458871967
Osijek,0.5,6,Low,0.40008332465458574
PAOK,0.42857142857142855,7,Low,0.3666060555964672
PS Karlsruhe,0.4,5,Low,0.4294144850840502
Panathinaikos,0.6,10,Low,0.3036418943426615
Pardubice,0.7142857142857143,7,Low,0.3346640106136302
Paris,0.3,10,Low,0.284030984225313
Parma Perm,0.5714285714285714,7,Low,0.3666060555964672
Parnu,0.6666666666666666,6,Low,0.3772021758705555
Partizan,0.6,10,Low,0.3036418943426615
Pau-Orthez,0.14285714285714285,7,Low,0.25922962793631443
Pecsi VSK,0.8,5,Low,0.350615458871967
Penarol,0.4,5,Low,0.4294144850840502
Peristeri,0.8,5,Low,0.350615458871967
Perth,0.6666666666666666,6,Low,0.3772021758705555
Pesaro,0.3333333333333333,6,Low,0.3772021758705555
Petkim Spor,0.5,8,Low,0.3464823227814083
Phoenix Hagen,0.6,5,Low,0.4294144850840502
Plunges Olimpas,0.6666666666666666,6,Low,0.3772021758705555
Podcetrtek,0.6666666666666666,6,Low,0.3772021758705555
Poitiers,0.42857142857142855,7,Low,0.3666060555964672
Promitheas,0.3333333333333333,6,Low,0.3772021758705555
Pyrinto Tampere,0.4,5,Low,0.4294144850840502
Rabotnicki,0.6,5,Low,0.4294144850840502
Real Madrid,0.6666666666666666,6,Low,0.3772021758705555
Reggiana,0.6666666666666666,6,Low,0.3772021758705555
Rigas Zelli,0.6666666666666666,6,Low,0.3772021758705555
Rilski Sportist,0.6666666666666666,9,Low,0.3079842869168074
